title,author,titlerus,tag,wiki,img
Life on the Mississippi,Mark Twain,Жизнь на Миссисипи,novel,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%A2%D0%B2%D0%B5%D0%BD,
The houseboat book,William F. Waugh,Плавучий дом,history,#,
The Jungle Book,Rudyard Kipling,Книга Джунглей,nature,http://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0_%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9,
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,"Повесть о жизни Фредерика Дугласа, американского раба",history,"http://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B3%D0%BB%D0%B0%D1%81,_%D0%A4%D1%80%D0%B5%D0%B4%D0%B5%D1%80%D0%B8%D0%BA",
A Connecticut Yankee in King Arthur's Court,Mark Twain,Янки из Коннектикута при дворе короля Артура,satire,http://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%BA%D0%B8_%D0%B8%D0%B7_%D0%9A%D0%BE%D0%BD%D0%BD%D0%B5%D0%BA%D1%82%D0%B8%D0%BA%D1%83%D1%82%D0%B0_%D0%BF%D1%80%D0%B8_%D0%B4%D0%B2%D0%BE%D1%80%D0%B5_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D1%8F_%D0%90%D1%80%D1%82%D1%83%D1%80%D0%B0,
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,Воспоминания Шерлока Холмса,detective,http://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D0%BF%D0%BE%D0%BC%D0%B8%D0%BD%D0%B0%D0%BD%D0%B8%D1%8F_%D0%A8%D0%B5%D1%80%D0%BB%D0%BE%D0%BA%D0%B0_%D0%A5%D0%BE%D0%BB%D0%BC%D1%81%D0%B0,
A Doll's House : a play,Henrik Ibsen,Кукольный дом,social,http://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC_(%D0%BF%D1%8C%D0%B5%D1%81%D0%B0),
Treasure Island,Robert Louis Stevenson,Остров сокровищ,adventure,http://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D1%81%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%89,
Three Men in a Boat,Jerome K. Jerome,Трое в лодке не считая собаки,adventure,"http://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B5_%D0%B2_%D0%BB%D0%BE%D0%B4%D0%BA%D0%B5,_%D0%BD%D0%B5_%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%8F_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B8",
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,Сборник работ,mysticism,http://ru.wikipedia.org/wiki/Edgar_Allan_Poe,
The Sign of the Four,Arthur Conan Doyle,Знак четырех,detective,http://ru.wikipedia.org/wiki/%D0%97%D0%BD%D0%B0%D0%BA_%D1%87%D0%B5%D1%82%D1%8B%D1%80%D0%B5%D1%85,
The Hound of the Baskervilles,Arthur Conan Doyle,Собака Баскервилей,detective,http://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%B0%D0%BA%D0%B0_%D0%91%D0%B0%D1%81%D0%BA%D0%B5%D1%80%D0%B2%D0%B8%D0%BB%D0%B5%D0%B9,
A Princess of Mars,Edgar Rice Burroughs,Принцесса Марса,fantasy,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BD%D1%86%D0%B5%D1%81%D1%81%D0%B0_%D0%9C%D0%B0%D1%80%D1%81%D0%B0,
An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,Исследование о природе и причинах богатства народов,economics,http://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BE_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%B5_%D0%B8_%D0%BF%D1%80%D0%B8%D1%87%D0%B8%D0%BD%D0%B0%D1%85_%D0%B1%D0%BE%D0%B3%D0%B0%D1%82%D1%81%D1%82%D0%B2%D0%B0_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BE%D0%B2,
The Iliad,Homer ,Иллиада,history,http://ru.wikipedia.org/wiki/%D0%98%D0%BB%D0%B8%D0%B0%D0%B4%D0%B0,
The Innocents Abroad,Mark Twain,Путешествие Пилигрима в Небесную Страну,allegory,http://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%9F%D0%B8%D0%BB%D0%B8%D0%B3%D1%80%D0%B8%D0%BC%D0%B0_%D0%B2_%D0%9D%D0%B5%D0%B1%D0%B5%D1%81%D0%BD%D1%83%D1%8E_%D0%A1%D1%82%D1%80%D0%B0%D0%BD%D1%83,
The Wonderful Wizard of Oz,L. Frank Baum,Удивительный волшебник из страны Оз,fairy tale,http://ru.wikipedia.org/wiki/%D0%A3%D0%B4%D0%B8%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%B2%D0%BE%D0%BB%D1%88%D0%B5%D0%B1%D0%BD%D0%B8%D0%BA_%D0%B8%D0%B7_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B_%D0%9E%D0%B7,
The Life and Adventures of Robinson Crusoe,Daniel Defoe,Робинзон Крузо,novel,http://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B8%D0%BD%D0%B7%D0%BE%D0%BD_%D0%9A%D1%80%D1%83%D0%B7%D0%BE,
